-----

### 

**Purpose of this Response:**

  * To create a `context.txt` file suitable for GitHub Copilot based on the provided image of a color palette.
  * The `context.txt` file will describe the colors, their hex codes, and their intended purpose within the design system, allowing Copilot to suggest these colors effectively in code.
  * The response should be structured clearly, with headings and a final output block that can be easily copied and pasted.

-----

## GitHub Copilot Context File for Color Palette

Based on the provided image, here is a `context.txt` file that describes the design system's color palette. This file can be used with GitHub Copilot to help it suggest the correct colors and their corresponding hex codes for your project.

### About this Context File

This file defines the project's color palette, organizing it by category and purpose. The primary categories are:

  * **Highlight:** A vibrant blue for primary actions and highlights.
  * **Neutral:** Grayscale tones for backgrounds, text, and borders.
  * **Support:** Colors for specific states like success, warning, and error.

Each color entry includes the category name, a descriptive label, and the hex code. This structured information allows Copilot to intelligently suggest the appropriate color for a given task, such as a "primary button color," "success message background," or "dark text."

-----

### context.txt

```
// Design system color palette for GitHub Copilot.
// Use these color variables when suggesting CSS or UI code.

// Highlight Colors
// A range of blues for primary UI elements and highlights.
$color-highlight-blue-500: #008FFD;
$color-highlight-blue-400: #2B97FF;
$color-highlight-blue-300: #6FB8FF;
$color-highlight-blue-200: #B4DBFF;
$color-highlight-blue-100: #EAF2FF;

// Neutral Colors - Light
// A range of light grays for backgrounds, disabled states, and light text.
$color-neutral-light-500: #C8C8CC;
$color-neutral-light-400: #D4D6DD;
$color-neutral-light-300: #E8E9F1;
$color-neutral-light-200: #F8F9FE;
$color-neutral-light-100: #FFFFFF;

// Neutral Colors - Dark
// A range of dark grays for text, borders, and dark backgrounds.
$color-neutral-dark-500: #1F2024;
$color-neutral-dark-400: #2F3036;
$color-neutral-dark-300: #494A50;
$color-neutral-dark-200: #71727A;
$color-neutral-dark-100: #8F9098;

// Support Colors
// A set of colors for communicating specific states like success, warning, and error.

// Success
// Greens for successful actions, messages, and confirmations.
$color-support-success-500: #298267;
$color-support-success-400: #3AC0A0;
$color-support-success-100: #E7F4E8;

// Warning
// Oranges and yellows for alerts and warnings.
$color-support-warning-500: #E86339;
$color-support-warning-400: #FF837C;
$color-support-warning-100: #FFF4E4;

// Error
// Reds for errors, destructive actions, and critical alerts.
$color-support-error-500: #ED3241;
$color-support-error-400: #FF616D;
$color-support-error-100: #FFE2E5;
```
